t,Vel,Motor,Marcha
1730932604.07,159.6,4969.53,99.97
1730932605.07,159.95,4977.53,99.97
1730932606.14,160.28,4984.87,99.97
1730932607.07,160.52,4990.34,99.97
1730932608.07,160.75,4995.53,99.97
1730932609.07,160.94,5000.01,99.97
1730932610.07,161.12,5003.88,99.97
1730932611.07,161.26,5007.22,99.97
1730932612.12,161.4,5010.21,99.97
1730932613.07,161.5,5012.58,99.97
1730932614.07,161.6,5014.75,99.97
1730932615.07,161.68,5016.62,99.97
1730932616.07,161.75,5018.24,99.97
1730932617.08,161.82,5019.64,99.97
1730932618.13,161.87,5020.91,99.97
1730932619.07,161.92,5021.89,99.97
1730932620.07,161.96,5022.8,99.97
1730932621.07,161.99,5023.58,99.97
1730932622.07,162.02,5024.26,99.97
1730932623.07,162.05,5024.84,99.97
1730932624.15,162.07,5025.39,99.97
1730932625.06,162.09,5025.79,99.97
1730932626.07,162.11,5026.17,99.97
1730932627.07,162.12,5026.5,99.97
1730932628.07,162.13,5026.78,99.97
1730932629.07,162.14,5027.02,99.97
1730932630.15,162.15,5027.25,99.97
1730932631.07,162.16,5027.42,99.97
1730932632.07,162.17,5027.58,99.97
1730932633.07,162.18,5027.72,99.97
1730932634.07,162.18,5027.84,99.97
1730932635.07,162.19,5027.94,99.97
1730932636.15,162.19,5028.04,99.97
1730932637.07,162.19,5028.11,99.97
1730932638.07,162.2,5028.17,99.97
1730932639.07,162.2,5028.23,99.97
1730932640.07,162.2,5028.28,99.97
1730932641.07,162.2,5028.32,99.97
1730932642.15,162.2,5028.36,99.97
1730932643.07,162.21,5028.39,99.97
1730932644.07,162.21,5028.42,99.97
1730932645.07,162.21,5028.45,99.97
1730932646.07,162.21,5028.47,99.97
1730932647.07,162.21,5028.49,99.97
1730932648.15,162.21,5028.5,99.97
1730932649.07,162.21,5028.51,99.97
1730932650.07,162.21,5028.53,99.97
1730932651.07,162.21,5028.54,99.97
1730932652.07,162.21,5028.55,99.97
1730932653.07,162.21,5028.55,99.97
1730932654.12,162.21,5028.56,99.97
1730932655.07,162.21,5028.56,99.97
1730932656.07,162.21,5028.57,99.97
1730932657.07,162.21,5028.57,99.97
1730932658.07,162.21,5028.58,99.97
1730932659.07,162.21,5028.58,99.97
1730932660.14,162.21,5028.58,99.97
1730932661.06,162.21,5028.59,99.97
1730932662.08,162.21,5028.59,99.97
1730932663.07,162.21,5028.59,99.97
1730932664.07,162.21,5028.59,99.97
1730932665.07,162.21,5028.59,99.97
1730932666.14,162.21,5028.59,99.97
1730932667.06,162.21,5028.6,99.97
1730932668.07,162.21,5028.6,99.97
1730932669.07,162.21,5028.6,99.97
1730932670.07,162.21,5028.6,99.97
1730932671.07,162.21,5028.6,99.97
1730932672.14,162.21,5028.6,99.97
1730932673.07,162.21,5028.6,99.97
1730932674.07,162.21,5028.6,99.97
1730932675.07,162.21,5028.6,99.97
1730932676.07,162.21,5028.6,99.97
1730932677.07,162.21,5028.6,99.97
1730932678.15,162.21,5028.6,99.97
1730932679.07,162.21,5028.6,99.97
1730932680.07,162.21,5028.6,99.97
1730932681.07,162.21,5028.6,99.97
1730932682.07,162.21,5028.6,99.97
1730932683.07,162.21,5028.6,99.97
1730932684.14,162.21,5028.6,99.97
1730932685.06,162.21,5028.6,99.97
1730932686.07,162.21,5028.6,99.97
1730932687.07,162.21,5028.6,99.97
1730932688.07,162.21,5028.6,99.97
1730932689.07,162.21,5028.6,99.97
1730932690.15,162.21,5028.6,99.97
1730932691.06,162.21,5028.6,99.97
1730932692.07,162.21,5028.6,99.97
1730932693.07,162.21,5028.6,99.97
1730932694.07,162.21,5028.6,99.97
1730932695.07,162.21,5028.6,99.97
1730932696.15,162.21,5028.6,99.97
1730932697.07,162.21,5028.6,99.97
1730932698.07,162.21,5028.6,99.97
1730932699.07,162.21,5028.6,99.97
1730932700.07,162.21,5028.6,99.97
1730932701.07,162.21,5028.6,99.97
1730932702.14,162.21,5028.6,99.97
1730932703.07,162.21,5028.6,99.97
1730932704.07,162.21,5028.6,99.97
1730932705.07,162.21,5028.6,99.97
1730932706.07,162.21,5028.6,99.97
1730932707.07,162.21,5028.6,99.97
1730932708.12,162.21,5028.6,99.97
1730932709.07,162.21,5028.6,99.97
1730932710.07,162.21,5028.6,99.97
1730932711.07,162.21,5028.6,99.97
1730932712.07,162.21,5028.6,99.97
1730932713.07,162.21,5028.6,99.97
1730932714.13,162.21,5028.6,99.97
1730932715.07,162.21,5028.6,99.97
1730932716.07,162.21,5028.6,99.97
1730932717.07,162.21,5028.6,99.97
1730932718.07,162.21,5028.6,99.97
1730932719.07,162.21,5028.6,99.97
1730932720.15,162.21,5028.6,99.97
1730932721.07,162.21,5028.6,99.97
1730932722.07,162.21,5028.6,99.97
1730932723.07,162.21,5028.6,99.97
1730932724.07,162.21,5028.6,99.97
1730932725.07,162.21,5028.6,99.97
1730932726.15,162.21,5028.6,99.97
1730932727.07,162.21,5028.6,99.97
1730932728.07,162.08,4985.23,77.64
1730932729.07,161.37,4964.74,76.58
1730932730.07,159.66,4712.24,48.84
1730932731.07,156.39,4609.39,47.59
1730932732.15,153.7,4713.48,62.97
1730932733.06,154.0,4835.05,95.35
1730932734.07,154.6,4724.75,59.36
1730932735.07,152.82,4571.0,49.2
1730932736.07,147.73,2489.85,1.45
1730932737.07,141.82,4304.16,48.29
1730932738.11,141.78,4423.75,60.3
1730932739.07,140.87,3785.46,25.07
1730932740.07,134.95,1647.34,21.51
1730932741.07,134.13,4202.87,53.56
1730932742.07,130.21,889.92,1.64
1730932743.08,128.63,4079.91,54.62
1730932744.13,125.08,1694.82,6.79
1730932745.07,122.77,3943.13,57.99
1730932746.07,126.14,4084.89,68.72
1730932747.07,124.92,3478.18,27.53
1730932748.07,120.59,619.82,1.45
1730932749.07,115.83,37.15,1.45
1730932750.13,111.12,5.46,1.45
1730932751.06,107.24,4.4,1.45
1730932752.07,103.29,4.34,1.45
1730932753.07,99.63,4.34,1.45
1730932754.07,96.13,4.34,1.45
1730932755.07,92.82,4.34,1.45
1730932756.14,89.51,4.34,1.45
1730932757.06,86.79,4.34,1.45
1730932758.07,83.98,4.34,1.45
1730932759.07,81.31,4.34,1.45
1730932760.06,78.8,4.34,1.45
1730932761.07,76.38,4.34,1.45
1730932762.13,73.92,4.34,1.45
1730932763.06,71.88,258.64,1.66
1730932764.07,69.79,588.68,2.58
1730932765.07,67.79,796.65,3.37
1730932766.07,65.9,949.09,3.68
1730932767.07,64.06,891.02,3.47
1730932768.11,62.23,864.09,3.3
1730932769.07,60.6,883.15,3.51
1730932770.07,58.95,859.78,3.35
1730932771.07,57.35,865.64,3.3
1730932772.07,55.83,832.29,3.15
1730932773.08,54.34,799.1,3.11
1730932774.13,52.81,787.55,3.11
1730932775.06,51.52,769.8,3.03
1730932776.07,50.16,781.09,3.08
1730932777.07,48.84,778.3,3.06
1730932778.07,47.57,785.13,3.03
1730932779.07,46.34,791.93,3.15
1730932780.14,45.04,804.35,3.18
1730932781.06,43.98,742.17,2.91
1730932782.07,42.81,805.67,3.27
1730932783.07,41.72,805.65,2.89
1730932784.07,40.62,73.78,1.45
1730932785.07,39.55,736.99,3.01
1730932786.14,38.44,700.96,2.72
1730932787.06,37.49,81.94,1.45
1730932788.06,36.49,7.58,1.45
1730932789.07,35.5,4.47,1.45
1730932790.07,34.52,4.35,1.45
1730932791.07,33.57,4.34,1.45
1730932792.14,32.59,703.7,2.6
1730932793.06,31.76,471.95,1.45
1730932794.07,30.87,23.83,1.45
